energy	PL
3.4237	1.67E-07
3.4236	1.67E-07
3.4235	1.67E-07
3.4234	1.67E-07
3.4233	1.68E-07
3.4232	1.68E-07
3.4231	1.68E-07
3.423	1.68E-07
3.4229	1.68E-07
3.4228	1.68E-07
3.4227	1.68E-07
3.4226	1.68E-07
3.4225	1.68E-07
3.4224	1.68E-07
3.4223	1.69E-07
3.4222	1.69E-07
3.4221	1.69E-07
3.422	1.69E-07
3.4219	1.69E-07
3.4218	1.69E-07
3.4217	1.69E-07
3.4216	1.69E-07
3.4215	1.69E-07
3.4214	1.70E-07
3.4213	1.70E-07
3.4212	1.70E-07
3.4211	1.70E-07
3.421	1.70E-07
3.4209	1.70E-07
3.4208	1.70E-07
3.4207	1.70E-07
3.4206	1.70E-07
3.4205	1.70E-07
3.4204	1.71E-07
3.4203	1.71E-07
3.4202	1.71E-07
3.4201	1.71E-07
3.42	1.71E-07
3.4199	1.71E-07
3.4198	1.71E-07
3.4197	1.71E-07
3.4196	1.71E-07
3.4195	1.71E-07
3.4194	1.72E-07
3.4193	1.72E-07
3.4192	1.72E-07
3.4191	1.72E-07
3.419	1.72E-07
3.4189	1.72E-07
3.4188	1.72E-07
3.4187	1.72E-07
3.4186	1.72E-07
3.4185	1.73E-07
3.4184	1.73E-07
3.4183	1.73E-07
3.4182	1.73E-07
3.4181	1.73E-07
3.418	1.73E-07
3.4179	1.73E-07
3.4178	1.73E-07
3.4177	1.73E-07
3.4176	1.73E-07
3.4175	1.74E-07
3.4174	1.74E-07
3.4173	1.74E-07
3.4172	1.74E-07
3.4171	1.74E-07
3.417	1.74E-07
3.4169	1.74E-07
3.4168	1.74E-07
3.4167	1.74E-07
3.4166	1.74E-07
3.4165	1.75E-07
3.4164	1.75E-07
3.4163	1.75E-07
3.4162	1.75E-07
3.4161	1.75E-07
3.416	1.75E-07
3.4159	1.75E-07
3.4158	1.75E-07
3.4157	1.75E-07
3.4156	1.76E-07
3.4155	1.76E-07
3.4154	1.76E-07
3.4153	1.76E-07
3.4152	1.76E-07
3.4151	1.76E-07
3.415	1.76E-07
3.4149	1.76E-07
3.4148	1.76E-07
3.4147	1.76E-07
3.4146	1.77E-07
3.4145	1.77E-07
3.4144	1.77E-07
3.4143	1.77E-07
3.4142	1.77E-07
3.4141	1.77E-07
3.414	1.77E-07
3.4139	1.77E-07
3.4138	1.77E-07
3.4137	1.78E-07
3.4136	1.78E-07
3.4135	1.78E-07
3.4134	1.78E-07
3.4133	1.78E-07
3.4132	1.78E-07
3.4131	1.78E-07
3.413	1.78E-07
3.4129	1.78E-07
3.4128	1.79E-07
3.4127	1.79E-07
3.4126	1.79E-07
3.4125	1.79E-07
3.4124	1.79E-07
3.4123	1.79E-07
3.4122	1.79E-07
3.4121	1.79E-07
3.412	1.79E-07
3.4119	1.79E-07
3.4118	1.80E-07
3.4117	1.80E-07
3.4116	1.80E-07
3.4115	1.80E-07
3.4114	1.80E-07
3.4113	1.80E-07
3.4112	1.80E-07
3.4111	1.80E-07
3.411	1.80E-07
3.4109	1.81E-07
3.4108	1.81E-07
3.4107	1.81E-07
3.4106	1.81E-07
3.4105	1.81E-07
3.4104	1.81E-07
3.4103	1.81E-07
3.4102	1.81E-07
3.4101	1.81E-07
3.41	1.82E-07
3.4099	1.82E-07
3.4098	1.82E-07
3.4097	1.82E-07
3.4096	1.82E-07
3.4095	1.82E-07
3.4094	1.82E-07
3.4093	1.82E-07
3.4092	1.82E-07
3.4091	1.82E-07
3.409	1.83E-07
3.4089	1.83E-07
3.4088	1.83E-07
3.4087	1.83E-07
3.4086	1.83E-07
3.4085	1.83E-07
3.4084	1.83E-07
3.4083	1.83E-07
3.4082	1.83E-07
3.4081	1.84E-07
3.408	1.84E-07
3.4079	1.84E-07
3.4078	1.84E-07
3.4077	1.84E-07
3.4076	1.84E-07
3.4075	1.84E-07
3.4074	1.84E-07
3.4073	1.84E-07
3.4072	1.85E-07
3.4071	1.85E-07
3.407	1.85E-07
3.4069	1.85E-07
3.4068	1.85E-07
3.4067	1.85E-07
3.4066	1.85E-07
3.4065	1.85E-07
3.4064	1.85E-07
3.4063	1.86E-07
3.4062	1.86E-07
3.4061	1.86E-07
3.406	1.86E-07
3.4059	1.86E-07
3.4058	1.86E-07
3.4057	1.86E-07
3.4056	1.86E-07
3.4055	1.86E-07
3.4054	1.87E-07
3.4053	1.87E-07
3.4052	1.87E-07
3.4051	1.87E-07
3.405	1.87E-07
3.4049	1.87E-07
3.4048	1.87E-07
3.4047	1.87E-07
3.4046	1.87E-07
3.4045	1.88E-07
3.4044	1.88E-07
3.4043	1.88E-07
3.4042	1.88E-07
3.4041	1.88E-07
3.404	1.88E-07
3.4039	1.88E-07
3.4038	1.88E-07
3.4037	1.88E-07
3.4036	1.89E-07
3.4035	1.89E-07
3.4034	1.89E-07
3.4033	1.89E-07
3.4032	1.89E-07
3.4031	1.89E-07
3.403	1.89E-07
3.4029	1.89E-07
3.4028	1.89E-07
3.4027	1.90E-07
3.4026	1.90E-07
3.4025	1.90E-07
3.4024	1.90E-07
3.4023	1.90E-07
3.4022	1.90E-07
3.4021	1.90E-07
3.402	1.90E-07
3.4019	1.90E-07
3.4018	1.91E-07
3.4017	1.91E-07
3.4016	1.91E-07
3.4015	1.91E-07
3.4014	1.91E-07
3.4013	1.91E-07
3.4012	1.91E-07
3.4011	1.91E-07
3.401	1.91E-07
3.4009	1.92E-07
3.4008	1.92E-07
3.4007	1.92E-07
3.4006	1.92E-07
3.4005	1.92E-07
3.4004	1.92E-07
3.4003	1.92E-07
3.4002	1.92E-07
3.4001	1.92E-07
3.4	1.93E-07
3.3999	1.93E-07
3.3998	1.93E-07
3.3997	1.93E-07
3.3996	1.93E-07
3.3995	1.93E-07
3.3994	1.93E-07
3.3993	1.93E-07
3.3992	1.93E-07
3.3991	1.94E-07
3.399	1.94E-07
3.3989	1.94E-07
3.3988	1.94E-07
3.3987	1.94E-07
3.3986	1.94E-07
3.3985	1.94E-07
3.3984	1.94E-07
3.3983	1.94E-07
3.3982	1.95E-07
3.3981	1.95E-07
3.398	1.95E-07
3.3979	1.95E-07
3.3978	1.95E-07
3.3977	1.95E-07
3.3976	1.95E-07
3.3975	1.95E-07
3.3974	1.96E-07
3.3973	1.96E-07
3.3972	1.96E-07
3.3971	1.96E-07
3.397	1.96E-07
3.3969	1.96E-07
3.3968	1.96E-07
3.3967	1.96E-07
3.3966	1.96E-07
3.3965	1.97E-07
3.3964	1.97E-07
3.3963	1.97E-07
3.3962	1.97E-07
3.3961	1.97E-07
3.396	1.97E-07
3.3959	1.97E-07
3.3958	1.97E-07
3.3957	1.97E-07
3.3956	1.98E-07
3.3955	1.98E-07
3.3954	1.98E-07
3.3953	1.98E-07
3.3952	1.98E-07
3.3951	1.98E-07
3.395	1.98E-07
3.3949	1.98E-07
3.3948	1.98E-07
3.3947	1.99E-07
3.3946	1.99E-07
3.3945	1.99E-07
3.3944	1.99E-07
3.3943	1.99E-07
3.3942	1.99E-07
3.3941	1.99E-07
3.394	1.99E-07
3.3939	2.00E-07
3.3938	2.00E-07
3.3937	2.00E-07
3.3936	2.00E-07
3.3935	2.00E-07
3.3934	2.00E-07
3.3933	2.00E-07
3.3932	2.00E-07
3.3931	2.00E-07
3.393	2.01E-07
3.3929	2.01E-07
3.3928	2.01E-07
3.3927	2.01E-07
3.3926	2.01E-07
3.3925	2.01E-07
3.3924	2.01E-07
3.3923	2.01E-07
3.3922	2.01E-07
3.3921	2.02E-07
3.392	2.02E-07
3.3919	2.02E-07
3.3918	2.02E-07
3.3917	2.02E-07
3.3916	2.02E-07
3.3915	2.02E-07
3.3914	2.02E-07
3.3913	2.03E-07
3.3912	2.03E-07
3.3911	2.03E-07
3.391	2.03E-07
3.3909	2.03E-07
3.3908	2.03E-07
3.3907	2.03E-07
3.3906	2.03E-07
3.3905	2.03E-07
3.3904	2.04E-07
3.3903	2.04E-07
3.3902	2.04E-07
3.3901	2.04E-07
3.39	2.04E-07
3.3899	2.04E-07
3.3898	2.04E-07
3.3897	2.04E-07
3.3896	2.05E-07
3.3895	2.05E-07
3.3894	2.05E-07
3.3893	2.05E-07
3.3892	2.05E-07
3.3891	2.05E-07
3.389	2.05E-07
3.3889	2.05E-07
3.3888	2.05E-07
3.3887	2.06E-07
3.3886	2.06E-07
3.3885	2.06E-07
3.3884	2.06E-07
3.3883	2.06E-07
3.3882	2.06E-07
3.3881	2.06E-07
3.388	2.06E-07
3.3879	2.07E-07
3.3878	2.07E-07
3.3877	2.07E-07
3.3876	2.07E-07
3.3875	2.07E-07
3.3874	2.07E-07
3.3873	2.07E-07
3.3872	2.07E-07
3.3871	2.07E-07
3.387	2.08E-07
3.3869	2.08E-07
3.3868	2.08E-07
3.3867	2.08E-07
3.3866	2.08E-07
3.3865	2.08E-07
3.3864	2.08E-07
3.3863	2.08E-07
3.3862	2.09E-07
3.3861	2.09E-07
3.386	2.09E-07
3.3859	2.09E-07
3.3858	2.09E-07
3.3857	2.09E-07
3.3856	2.09E-07
3.3855	2.09E-07
3.3854	2.10E-07
3.3853	2.10E-07
3.3852	2.10E-07
3.3851	2.10E-07
3.385	2.10E-07
3.3849	2.10E-07
3.3848	2.10E-07
3.3847	2.10E-07
3.3846	2.10E-07
3.3845	2.11E-07
3.3844	2.11E-07
3.3843	2.11E-07
3.3842	2.11E-07
3.3841	2.11E-07
3.384	2.11E-07
3.3839	2.11E-07
3.3838	2.11E-07
3.3837	2.12E-07
3.3836	2.12E-07
3.3835	2.12E-07
3.3834	2.12E-07
3.3833	2.12E-07
3.3832	2.12E-07
3.3831	2.12E-07
3.383	2.12E-07
3.3829	2.13E-07
3.3828	2.13E-07
3.3827	2.13E-07
3.3826	2.13E-07
3.3825	2.13E-07
3.3824	2.13E-07
3.3823	2.13E-07
3.3822	2.13E-07
3.3821	2.13E-07
3.382	2.14E-07
3.3819	2.14E-07
3.3818	2.14E-07
3.3817	2.14E-07
3.3816	2.14E-07
3.3815	2.14E-07
3.3814	2.14E-07
3.3813	2.14E-07
3.3812	2.15E-07
3.3811	2.15E-07
3.381	2.15E-07
3.3809	2.15E-07
3.3808	2.15E-07
3.3807	2.15E-07
3.3806	2.15E-07
3.3805	2.15E-07
3.3804	2.16E-07
3.3803	2.16E-07
3.3802	2.16E-07
3.3801	2.16E-07
3.38	2.16E-07
3.3799	2.16E-07
3.3798	2.16E-07
3.3797	2.16E-07
3.3796	2.17E-07
3.3795	2.17E-07
3.3794	2.17E-07
3.3793	2.17E-07
3.3792	2.17E-07
3.3791	2.17E-07
3.379	2.17E-07
3.3789	2.17E-07
3.3788	2.18E-07
3.3787	2.18E-07
3.3786	2.18E-07
3.3785	2.18E-07
3.3784	2.18E-07
3.3783	2.18E-07
3.3782	2.18E-07
3.3781	2.18E-07
3.378	2.19E-07
3.3779	2.19E-07
3.3778	2.19E-07
3.3777	2.19E-07
3.3776	2.19E-07
3.3775	2.19E-07
3.3774	2.19E-07
3.3773	2.19E-07
3.3772	2.20E-07
3.3771	2.20E-07
3.377	2.20E-07
3.3769	2.20E-07
3.3768	2.20E-07
3.3767	2.20E-07
3.3766	2.20E-07
3.3765	2.20E-07
3.3764	2.20E-07
3.3763	2.21E-07
3.3762	2.21E-07
