phononEnergy	Sk
0.001955163	4.52E-07
0.002522408	4.66E-31
0.003416733	3.51E-31
0.003636513	9.22E-31
0.003874898	4.75E-31
0.00416583	6.43E-06
0.004663268	0
0.005030726	0
0.005287524	1.10E-30
0.007150185	0
0.007507582	0
0.00820403	0
0.008382468	0
0.008944445	0
0.009101472	0
0.009617892	0
0.010028631	0
0.010512356	0
0.010662035	0
0.011227845	0
0.011640865	0
0.014343314	0
0.015737294	0
0.016354931	0
0.016499164	0
0.016534063	0
0.016657723	0
0.016684058	0
0.016723111	0
0.016757511	0
0.016864213	0
0.017764909	0
0.018200011	0
0.019929162	0
0.020157776	0
0.020716597	0
0.020792259	0
0.021607508	9.76E-29
0.021614816	4.70E-04
0.021877609	1.38E-32
0.022599753	0.272048358
0.022837855	0.00758979
0.023009298	0.013854295
0.023184749	8.75E-05
0.023304401	6.70E-04
0.023775913	7.43E-28
0.024825002	0
0.024886245	0
0.025342509	0
0.025390412	0
0.025653378	0
0.026223237	0
0.026307107	0
0.026894509	0
0.027015345	0
0.027163688	0
0.0272952	0
0.027384993	0
0.027425103	0
0.027578903	0
0.027611481	0
0.028555654	0
0.02902138	0
0.030969254	0
0.03100918	0
0.031777903	0
0.031944651	0
0.032335468	0
0.032585909	0
0.033014805	0
0.033024899	0
0.033323854	0
0.033498643	8.01E-32
0.033552693	0
0.033723315	1.06E-29
0.033734446	0
0.033818379	0
0.033871487	0
0.034364929	4.22E-30
0.03445161	3.78E-04
0.034567372	4.04E-29
0.034755671	1.04E-28
0.034947786	9.99E-33
0.03562307	0.159743003
0.035637298	3.76E-26
0.035859302	1.92E-28
0.03587592	0
0.036014174	1.28E-27
0.03613861	0
0.036214871	2.28E-32
0.036413865	4.39E-31
0.036444537	4.24E-30
0.036541106	1.23E-28
0.036576525	0.009592022
0.036816586	7.73E-06
0.036923901	4.09E-29
0.037172243	0.02624998
0.037229029	4.31E-30
0.037338401	1.01E-29
0.037448665	4.71E-06
0.037492893	2.24E-28
0.037632852	9.48E-29
0.03768179	9.78E-29
0.037704561	3.88E-29
0.03781121	1.72E-32
0.037894002	0
0.038037387	2.37E-29
0.038072746	0
0.038181643	3.33E-30
0.038296183	1.72E-04
0.038394608	0
0.038574774	2.58E-30
0.03941677	0.066566975
0.039916713	0.010777565
0.040139633	0.002032619
0.040171334	0.001040243
0.040293089	4.71E-04
0.040357972	1.55E-29
0.041132805	0
0.041758091	3.13E-04
0.041924096	0.07237619
0.042260673	1.42E-04
0.042654928	3.94E-04
0.042896855	6.09E-04
0.042954581	9.46E-05
0.042958571	4.60E-29
0.050614078	1.15E-06
0.055250318	0.189721261
0.05662964	1.08E-04
0.056764504	2.60E-04
0.056990737	3.57E-04
0.057060384	0.00798384
0.057172147	1.12E-04
0.057233541	0.019965261
0.057298385	0.008293925
0.057335279	4.21E-05
0.057429285	1.37E-05
0.057460427	4.42E-04
0.057508934	6.07E-04
0.057536644	2.27E-04
0.057612963	7.20E-05
0.057705438	2.96E-05
0.058123517	1.23E-05
0.058283674	2.95E-05
0.058941091	0.042121236
0.060467244	0
0.060735574	7.85E-05
0.060992129	9.99E-05
0.061104574	0.011722188
0.061152419	0.001209177
0.061689701	0.002071369
0.064094511	6.84E-06
0.065264044	0.018117629
0.065467824	4.84E-04
0.065642162	3.24E-10
0.0658626	0.019594435
0.065977901	3.61E-05
0.066975764	2.26E-05
0.06786656	0.060342252
0.068278011	7.78E-05
0.068417379	3.98E-06
0.06877928	2.94E-06
0.068850617	0.002985825
0.069095502	0.006605579
0.069150622	4.46E-04
0.069194898	5.10E-05
0.069387222	9.37E-05
0.069464199	3.65E-06
0.069474502	4.07E-04
0.069652301	4.99E-06
0.0699565	0.004538928
