phononEnergy	Sk
0.1444632	1.38E-06
0.147591657	1.84E-06
0.148334012	8.51E-05
0.149302525	4.23E-04
0.149664402	4.34E-06
0.149740218	3.28E-05
0.150532689	3.68E-06
0.150983939	7.63E-09
0.151059448	7.19E-06
0.151204121	3.40E-04
0.151246721	3.76E-04
0.152014116	5.07E-04
0.152058184	1.71E-05
0.152561159	8.41E-06
0.153304035	0.002466938
0.153582592	1.02E-04
0.153604906	2.69E-04
0.154291892	4.24E-06
0.154496952	2.46E-04
0.154941405	5.95E-07
0.155124303	5.19E-04
0.155153334	2.27E-06
0.155296547	3.99E-06
0.15540206	2.32E-06
0.155663986	8.06E-05
0.15585568	1.13E-04
0.155875039	2.39E-06
0.156042474	1.10E-06
0.156086418	6.82E-06
0.156361855	9.26E-07
0.156601673	1.90E-05
0.156651597	6.53E-05
0.156733983	2.06E-05
0.15684057	3.64E-08
0.15694691	2.01E-06
0.157098843	1.36E-05
0.157158733	3.12E-05
0.157213824	2.72E-05
0.157231724	8.18E-05
0.157413384	6.59E-04
0.157420122	7.49E-06
0.157474212	1.12E-04
0.157491583	3.17E-06
0.157634743	3.16E-06
0.157642897	3.16E-04
0.157737006	5.43E-06
0.157779852	1.18E-06
0.157799043	3.77E-05
0.157856831	2.74E-04
0.157875905	6.61E-05
0.158037192	8.39E-05
0.158080886	1.43E-07
0.158161867	2.78E-05
0.15823295	7.73E-06
0.15830819	8.74E-08
0.158389326	8.14E-08
0.158546384	1.29E-05
0.158606602	7.54E-05
0.158647398	9.67E-07
0.158691937	1.99E-06
0.158749191	1.62E-04
0.158828343	4.85E-04
0.158877404	2.92E-04
0.159062308	0.00566085
0.159112472	3.09E-07
0.159269917	2.90E-05
0.159351718	0.00123556
0.159477342	4.00E-06
0.159631284	0.001691812
0.159665049	4.16E-05
0.159826113	4.28E-04
0.159855349	6.47E-05
0.160107367	1.55E-04
0.160167036	0.002133658
0.160190861	0.001014301
0.160297278	1.56E-05
0.16030288	0.001147315
0.160330123	3.89E-05
0.16048051	7.34E-06
0.160672584	8.38E-04
0.160826788	3.18E-04
0.160884279	7.17E-06
0.160966984	5.21E-04
0.16111331	1.05E-04
0.161183034	4.13E-07
0.161264879	0.00509129
0.161407033	0.001245734
0.161569756	1.28E-05
0.1616137	2.40E-04
0.161702416	5.63E-05
0.16179772	9.50E-04
0.161820909	1.07E-04
0.162021049	1.67E-06
0.162135807	0.001697255
0.162224843	2.26E-05
0.162306994	2.18E-10
0.162342862	6.98E-05
0.162491567	1.39E-05
0.162522196	2.79E-05
0.162677065	1.98E-05
0.162699167	5.96E-05
0.162709382	3.14E-04
0.162733118	1.43E-04
0.163036456	4.14E-05
0.163080924	5.99E-04
0.163138788	5.68E-06
0.163229859	8.59E-05
0.163253099	4.78E-08
0.163502998	1.50E-04
0.163557939	1.65E-05
0.163677807	1.33E-06
0.163739588	4.48E-04
0.163986738	2.18E-04
0.164166087	8.15E-07
0.164354861	9.19E-05
0.16438781	1.21E-06
0.164524366	2.15E-06
0.164795197	2.75E-04
0.165323787	2.20E-05
0.165531352	2.26E-06
0.165753929	9.50E-06
0.166000671	1.35E-06
0.166025363	4.44E-06
0.166318224	5.54E-07
0.166623044	0.00393044
0.167104208	8.63E-05
0.16723253	0.007325267
0.167840134	9.52E-07
0.168079436	9.91E-08
0.1682979	0.001388811
0.168528929	6.35E-05
0.168947567	6.68E-06
0.169176329	8.29E-04
0.169197605	9.08E-04
0.169630065	0.001145001
0.170050473	1.26E-08
0.170136955	1.43E-05
0.170346215	0.002012496
0.171249865	1.70E-05
0.172045048	3.00E-05
0.172129385	1.15E-07
0.173610376	0.00227719
0.173632642	0.002361461
0.173748199	3.27E-06
0.173881743	2.53E-04
0.173891508	0.006203045
0.174271458	8.09E-05
0.174281451	0.001278695
0.174510616	2.86E-04
0.174591482	1.24E-06
0.174758256	7.51E-05
0.174931796	3.20E-04
0.174980434	0.002243431
0.175423413	3.44E-05
0.17565896	1.21E-04
0.175673164	1.74E-04
0.176121693	7.03E-05
0.178739078	7.84E-06
0.179139107	0.012173249
0.180084095	0.002524749
0.180718638	5.44E-06
0.180916873	3.45E-04
0.181495967	1.42E-07
0.181640645	4.00E-06
0.182462619	4.71E-04
0.182894037	0.00240058
0.183031532	1.35E-06
0.183271388	4.34E-06
0.183623537	1.33E-06
0.183656723	6.36E-05
0.183834611	0.003288644
0.183917645	4.87E-05
0.184400405	2.62E-06
0.18440833	3.10E-05
0.184981635	2.05E-06
0.185803139	0.001245506
0.18596806	2.58E-06
0.186879582	0.002750502
0.186932925	1.92E-05
0.18747279	0.001878548
0.188003764	7.18E-04
0.188016093	5.81E-05
0.188665768	0.001088322
0.188872252	2.29E-05
0.188906505	1.20E-06
0.189186207	1.34E-05
0.189316644	4.40E-04
0.189744088	1.63E-06
0.189790949	0.004399748
0.189850787	8.42E-05
0.190771685	0.001109355
0.191588155	1.43E-05
