1,0.9949,0.98981,0.81346,0.76555,0.68909,0.64934,0.63914,0.69827,0.63201,0.68603,0.54536,0.66157
1,0.91452,0.75184,0.68566,0.62224,0.64706,0.60938,0.5671,0.60018,0.5193,0.58456,0.5239,0.55882
1,0.85766,0.77568,0.66667,0.64505,0.61892,0.5973,0.53874,0.54505,0.54234,0.55856,0.52162,0.51081
1,0.90584,0.84087,0.75047,0.72316,0.65913,0.61582,0.61299,0.56215,0.59699,0.54049,0.5904,0.58757
1,0.87091,0.71773,0.7401,0.59897,0.63683,0.53614,0.57487,0.50775,0.51377,0.4673,0.53614,0.47676
1,0.94954,0.87889,0.75862,0.73423,0.63751,0.57359,0.57023,0.5122,0.50463,0.53659,0.51472,0.47014
1,0.85509,0.77948,0.73987,0.68407,0.61476,0.61116,0.55626,0.59586,0.58326,0.57066,0.51755,0.57516
1,0.86796,0.81902,0.72669,0.77101,0.64174,0.57341,0.60849,0.506,0.60757,0.53001,0.57156,0.54571
1,0.89076,0.87567,0.73979,0.69982,0.60568,0.63233,0.58615,0.59147,0.51332,0.52131,0.49467,0.53819
1,0.94267,0.90602,0.77256,0.71053,0.64662,0.70395,0.57801,0.58835,0.63064,0.50846,0.58741,0.54887
1,0.97601,0.83205,0.80614,0.69674,0.69482,0.61132,0.62668,0.58829,0.59885,0.53263,0.59405,0.57006
